Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
Giovanni Della Casa | Della Casa, Giovanni  | 178155 | 1500 | italiano
Alessandro Della Seta | Della Seta, Alessandro  | 2140243 | 1900 | italiano
Federico Della Valle | Della Valle, Federico  | 1272269 | 1500 | italiano
Isidoro Del Lungo | Del Lungo, Isidoro  | 97053 | 1800 | italiano
Federico Delpino | Delpino, Federico  | 2691713 | 1800 | italiano
Emilio De Marchi | De Marchi, Emilio  | 2733391 | -1 | Non pervenuta
Olinto De Pretto | De Pretto, Olinto  | 298756 | 1800 | italiano
Richard Dering | Dering, Richard  | 3420777 | 1600 | inglese
Federico De Roberto | De Roberto, Federico  | 99157 | 1800 | italiano
Francesco De Sanctis | De Sanctis, Francesco  | 152802 | 1800 | italiano
Luigi Desanctis | Desanctis, Luigi  | 1839549 | -1 | Non pervenuta
Jean Baptiste Félix Descuret | Descuret, Jean Baptiste Félix  | 3698341 | 1800 | francese
Giovanni Evangelista Di Blasi | Di Blasi, Giovanni Evangelista  | 3976286 | 1700 | italiano
Charles Dickens | Dickens, Charles  | 18159 | 1800 | britannico
Denis Diderot | Diderot, Denis  | 29621 | 1700 | francese
Salvatore Di Giacomo | Di Giacomo, Salvatore  | 2296710 | 1900 | italiano
Alessio Di Giovanni | Di Giovanni, Alessio  | 489332 | 1800 | italiano
Lodovico Dolce | Dolce, Lodovico  | 513450 | -1 | Non pervenuta
Lodovico Domenichi | Domenichi, Lodovico  | 2211409 | 1500 | italiano
Giovanni Battista Donati | Donati, Giovanni Battista  | 23692 | 1800 | italiano
Federico Donaver | Donaver, Federico  | 1984669 | 1800 | italiano
Anton Francesco Doni | Doni, Anton Francesco  | 1656208 | 1500 | italiano
Gaetano Donizetti | Donizetti, Gaetano  | 2052 | 1800 | italiano
Giulio Douhet | Douhet, Giulio  | 518360 | -1 | italiano
Hans Driesch | Driesch, Hans  | 384768 | 1900 | tedesco
Paola Drigo | Drigo, Paola  | 483106 | 1900 | italiana
Pericle Ducati | Ducati, Pericle  | 489099 | 1900 | italiano
Paul Dukas | Dukas, Paul  | 413065 | -1 | francese
Pierre Du Mage | Du Mage, Pierre  | 6481677 | -1 | francese
Henry Dunant | Dunant, Henry  | 124657 | -1 | svizzero
Antonín Dvořák | Dvořák, Antonín  | 266104 | -1 | ceco
Gian Dàuli | Dàuli, Gian  | 3961315 | 2000 | italiano
Umberto Eco | Eco, Umberto  | 4346 | -1 | Non pervenuta
Electronic Frontier Foundation | Electronic Frontier Foundation  | 1456378 | -1 | Non pervenuta
Edward William Elgar | Elgar, Edward William  | 6811537 | -1 | Non pervenuta
Augusto Elia | Elia, Augusto  | 705815 | 1800 | italiano
Pio Emanuelli | Emanuelli, Pio  | 2577577 | 1900 | italiano
Friedrich Engels | Engels, Friedrich  | 88158 | 1800 | tedesco
Federigo Enriques | Enriques, Federigo  | 23698 | 1900 | italiano
Luigi Fabbri | Fabbri, Luigi  | 1873492 | 1900 | italiano
Giovanni Faldella | Faldella, Giovanni  | 2005039 | 1800 | italiano
Pietro Fanfani | Fanfani, Pietro  | 1430925 | 1800 | italiano
Horst Fantazzini | Fantazzini, Horst  | 3065729 | 1900 | italiano
Giovanni Fantoni | Fantoni, Giovanni  | 662847 | 1700 | italiano
Salvatore Farina | Farina, Salvatore  | 1332414 | 1800 | italiano
