Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
Giulio Bechi | Bechi, Giulio | 2031300 | 1900 | italiano | 1870 | 1917 | M | M
Aaron Beck | Beck, Aaron | 1253255 | -1 | statunitense | 1921 |  | M | M
Andreas Beck | Beck, Andreas | 3904705 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Samuel Beckett | Beckett, Samuel | 81449 | 1900 | irlandese | 1906 | 1989 | M | M
Simon Beckett | Beckett, Simon | 3885058 | 2000 | inglese | 1960 |  | M | M
William Beckford | Beckford, William | 301507 | 1700 | britannico | 1760 | 1844 | M | M
Ulrich Beck | Beck, Ulrich | 106029 | 1900 | tedesco | 1944 | 2015 | M | M
Giulio Bedeschi | Bedeschi, Giulio | 657046 | 1900 | italiano | 1915 | 1990 | M | M
Martyn Bedford | Bedford, Martyn | 5623153 | -1 | britannico | 1959 |  | M | M
guy Bedouelle | Bedouelle, guy | 6776873 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Antony Beevor | Beevor, Antony | 2593346 | 1900 | britannico | 1946 |  | M | M
Marc Behm | Behm, Marc | 4877564 | 1900 | statunitense | 1925 | 2007 | M | M
Cristina Belgioioso | Belgioioso, Cristina | 1483071 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giacomo Bellacchi | Bellacchi, Giacomo | 23198 | 1800 | italiano | 1838 | 1924 | M | M
Angelo Bellani | Bellani, Angelo | 5855251 | 1700 | italiano | 1776 | 1852 | M | M
Enrico Bellavia | Bellavia, Enrico | 3631745 | 1900 | italiano | 1965 |  | M | M
Dario Bellezza | Bellezza, Dario | 360807 | 1900 | italiano | 1944 | 1996 | M | M
Gioconda Belli | Belli, Gioconda | 596909 | -1 | nicaraguense | 1948 |  | F | F
Giuseppe Belli | Belli, Giuseppe | 23201 | 1700 | italiano | 1791 | 1860 | M | M
Giuseppe Bellini | Bellini, Giuseppe | 3094336 | -1 | italiano | 1957 |  | M | M
Vincenzo Bellini | Bellini, Vincenzo | 109726 | 1800 | italiano | 1801 | 1835 | M | M
Antoine Bello | Bello, Antoine | 4577079 | 1900 | francese | 1970 |  | M | M
Antonio Bello | Bello, Antonio | 1076110 | 1900 | italiano | 1935 | 1993 | M | M
Piergiorgio Bellocchio | Bellocchio, Piergiorgio | 1521551 | 1900 | italiano | 1931 |  | M | M
Donatello Bellomo | Bellomo, Donatello | 3943818 | 1900 | italiano | 1953 |  | M | M
Goffredo Bellonci | Bellonci, Goffredo | 1478682 | 1900 | italiano | 1882 | 1964 | M | M
Maria Bellonci | Bellonci, Maria | 450063 | 1900 | italiana | 1902 | 1986 | F | F
enrico Bellone | Bellone, enrico | 254172 | 1900 | italiano | 1938 | 2011 | M | M
Fortunato Bellonzi | Bellonzi, Fortunato | 3831896 | 1900 | italiano | 1907 | 1993 | M | M
Saul Bellow | Bellow, Saul | 259287 | 1900 | canadese | 1915 | 2005 | M | M
Marco Belpoliti | Belpoliti, Marco | 1054304 | 1900 | italiano | 1954 |  | M | M
pietro Beltrami | Beltrami, pietro | 735774 | 1900 | italiano | 1951 |  | M | M
Andrej Belyj | Belyj, Andrej | 734162 | -1 | russo | 1880 | 1934 | M | M
pietro Bembo | Bembo, pietro | 94739 | 1500 | italiano | 1470 | 1547 | M | M
Tonino Benacquista | Benacquista, Tonino | 1574952 | 1900 | francese | 1961 |  | M | M
Miguel Benasayag | Benasayag, Miguel | 1542761 | 2000 | argentino | 1953 |  | M | M
jacinto Benavente | Benavente, jacinto | 580485 | -1 | spagnolo | 1866 | 1954 | M | M
Peter Benchley | Benchley, Peter | 2174139 | 1900 | statunitense | 1940 | 2006 | M | M
Ermanno Bencivenga | Bencivenga, Ermanno | 3060311 | 1900 | italiano | 1950 |  | M | M
Julien Benda | Benda, Julien | 1361432 | 1900 | francese | 1867 | 1956 | M | M
Amedeo Benedetti | Benedetti, Amedeo | 2097576 | 1900 | italiano | 1954 | 2017 | M | M
Arrigo Benedetti | Benedetti, Arrigo | 1393301 | 1900 | italiano | 1910 | 1976 | M | M
Ruth Benedict | Benedict, Ruth | 215030 | 1900 | statunitense | 1887 | 1948 | F | F
Gregory Benford | Benford, Gregory | 813892 | -1 | statunitense | 1941 |  | M | M
Roberto Benigni | Benigni, Roberto | 15470 | 1900 | italiano | 1952 | -1 | M | M
roberto Benigni | Benigni, roberto | 15470 | 1900 | italiano | 1952 | -1 | M | M
Francesco Benigno | Benigno, Francesco | 1046523 | 1900 | italiano | 1967 |  | M | M
Jean-Marie Benjamin | Benjamin, Jean-Marie | 1355068 | 2000 | francese | 1946 |  | M | M
Walter Benjamin | Benjamin, Walter | 37533 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Alan Bennett | Bennett, Alan | 2072030 | 1900 | britannico | 1934 |  | M | M
Arnold Bennett | Bennett, Arnold | 1906566 | 1900 | inglese | 1867 | 1931 | M | M
Ronan Bennett | Bennett, Ronan | 3272227 | 1900 | britannico | 1956 |  | M | M
Stefano Benni | Benni, Stefano | 3802 | 1900 | italiano | 1947 |  | M | M
Benni | Benni,  | 6710261 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Pierre Benoit | Benoit, Pierre | 4919531 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Raymond Benson | Benson, Raymond | 4310311 | 1900 | statunitense | 1955 |  | M | M
Robert Benson | Benson, Robert | 1972817 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Georges Bensoussan | Bensoussan, Georges | 3405164 | -1 | francese | 1952 |  | M | M
Jeremy Bentham | Bentham, Jeremy | 854031 | 1700 | inglese | 1748 | 1832 | M | M
rosario Bentivegna | Bentivegna, rosario | 2044375 | 1900 | italiano | 1922 | 2012 | M | M
Paolo Bentivoglio | Bentivoglio, Paolo | 4504618 | 1900 | italiano | 1894 | 1965 | M | M
Don Benzi | Benzi, Don | 1424640 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Rosanna Benzi | Benzi, Rosanna | 3059905 | 1900 | italiana | 1948 | 1991 | F | F
juliette Benzoni | Benzoni, juliette | 6784061 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
angelo Beolco | Beolco, angelo | 79646 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Alfonso Berardinelli | Berardinelli, Alfonso | 637934 | 1900 | italiano | 1943 |  | M | M
Nina Berberova | Berberova, Nina | 393836 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giovanni Berchet | Berchet, Giovanni | 116018 | 1800 | italiano | 1783 | 1851 | M | M
Guglielmo Berchet | Berchet, Guglielmo | 1569825 | 1800 | italiano | 1833 | 1913 | M | M
Nikolaj Berdjaev | Berdjaev, Nikolaj | 863652 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Roberto Beretta | Beretta, Roberto | 746979 | 2000 | italiano | 1960 |  | M | M
John Berger | Berger, John | 2400778 | 1900 | britannico | 1926 | 2017 | M | M
Thomas Berger | Berger, Thomas | 3100627 | 1900 | statunitense | 1924 | 2014 | M | M
Jacques Bergier | Bergier, Jacques | 1729581 | 1900 | francese | 1912 | 1978 | M | M
Ingmar Bergman | Bergman, Ingmar | 27071 | -1 | svedese | 1918 | 2007 | M | M
Alessandro Bergonzoni | Bergonzoni, Alessandro | 243332 | 1900 | italiano | 1958 |  | M | M
Bergonzoni | Bergonzoni | 705777 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Henri Bergson | Bergson, Henri | 17615 | 1800 | francese | 1859 | 1941 | M | M
Anthony Berkeley | Berkeley, Anthony | 1868017 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Alexander Berkman | Berkman, Alexander | 2842978 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giovanni Berlinguer | Berlinguer, Giovanni | 128197 | 1900 | italiano | 1924 | 2015 | M | M
Luigi Berlinguer | Berlinguer, Luigi | 215922 | 1900 | italiano | 1932 |  | M | M
Isaiah Berlin | Berlin, Isaiah | 1469691 | -1 | britannico | 1909 | 1997 | M | M
Cesare Bermani | Bermani, Cesare | 1596626 | 1900 | italiano | 1937 |  | M | M
Paul Berman | Berman, Paul | 3140371 | 1900 | statunitense |  |  | M | M
Georges Bernanos | Bernanos, Georges | 99219 | 1900 | francese | 1888 | 1948 | M | M
Ilaria Bernardini | Bernardini, Ilaria | 6586317 | 2000 | italiana | 1977 |  | F | F
Ulderico Bernardi | Bernardi, Ulderico | 3968820 | 1900 | italiano | 1937 |  | M | M
Carlo Bernari | Bernari, Carlo | 628583 | 1900 | italiano | 1909 | 1992 | M | M
Eric Berne | Berne, Eric | 213827 | -1 | canadese | 1910 | 1970 | M | M
Camillo Berneri | Berneri, Camillo | 1911531 | 1900 | italiano | 1897 | 1937 | M | M
Giuseppe Berneri | Berneri, Giuseppe | 770933 | 1600 | italiano | 1637 | 1701 | M | M
Thomas Bernhard | Bernhard, Thomas | 353132 | 1900 | austriaco | 1931 | 1989 | M | M
Francesco Berni | Berni, Francesco | 785302 | 1500 | italiano | 1497 | 1535 | M | M
Harry Bernstein | Bernstein, Harry | 2635691 | 2000 | britannico | 1910 | 2011 | M | M
Claude Berri | Berri, Claude | 1719287 | 1900 | francese | 1934 | 2009 | M | M
James Berry | Berry, James | 7023611 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Steve Berry | Berry, Steve | 1143988 | 2000 | statunitense | 1955 |  | M | M
Edmondo Berselli | Berselli, Edmondo | 2937268 | 1900 | italiano | 1951 | 2010 | M | M
Vittorio Bersezio | Bersezio, Vittorio | 622426 | 1800 | italiano | 1828 | 1900 | M | M
Giovanni Bertacchi | Bertacchi, Giovanni | 548649 | 1800 | italiano | 1869 | 1942 | M | M
Renato Bertacchini | Bertacchini, Renato | 5431363 | XX | italiano | 1921 | 2011 | M | M
Alessandro Bertante | Bertante, Alessandro | 6369458 | 2000 | italiano | 1969 | -1 | M | M
Luigi Bertelli | Bertelli, Luigi | 104165 | 1900 | italiano | 1858 | 1920 | M | M
Luigi Berti | Berti, Luigi | 2555269 | -1 | italiano | 1828 | 1890 | M | M
Giuseppe Berto | Berto, Giuseppe | 96358 | 1900 | italiano | 1914 | 1978 | M | M
Romano Bertola | Bertola, Romano | 2471703 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Stefania Bertola | Bertola, Stefania | 452121 | 1900 | italiana | 1952 |  | F | F
Bernardo Bertolucci | Bertolucci, Bernardo | 739 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giulio Bertoni | Bertoni, Giulio | 1683105 | -1 | italiano | 1878 | 1942 | M | M
Francesca Bertuzzi | Bertuzzi, Francesca | 6228286 | 2000 | italiana | 1981 | -1 | F | F
Philippe Besson | Besson, Philippe | 3138525 | 2000 | francese | 1967 |  | M | M
Mario Betti | Betti, Mario | 878507 | -1 | italiano | 1875 | 1942 | M | M
Enzo Bettiza | Bettiza, Enzo | 254479 | 1900 | italiano | 1927 | 2017 | M | M
Alberto Bevilacqua | Bevilacqua, Alberto | 450012 | 1900 | italiano | 1934 | 2013 | M | M
Daniele Biacchessi | Biacchessi, Daniele | 234375 | 1900 | italiano | 1957 |  | M | M
Bice Biagi | Biagi, Bice | 1432016 | 1900 | italiana | 1947 |  | F | F
Enzo Biagi | Biagi, Enzo | 1563737 | 1900 | italiano | 1920 | 2007 | M | M
Guido Biagi | Biagi, Guido | 6906057 | 1800 | italiano | 1855 | 1925 | M | M
antonello Biagini | Biagini, antonello | 2564249 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
francesco Biamonti | Biamonti, francesco | 859069 | 1900 | italiano | 1928 | 2001 | M | M
Simone Bianchetti | Bianchetti, Simone | 2855341 | -1 | italiano | 1968 | 2003 | M | M
Arturo Bianchi | Bianchi, Arturo | 6027547 | 1900 | italiano | 1900 | -1 | M | M
Enzo Bianchi | Bianchi, Enzo | 493875 | 1900 | italiano | 1943 |  | M | M
Luisito Bianchi | Bianchi, Luisito | 3842869 | 1900 | italiano | 1927 | 2012 | M | M
Matteo Bianchi | Bianchi, Matteo | 5733837 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Angela Bianchini | Bianchini, Angela | 5296711 | 1900 | italiana | 1921 |  | F | F
Luca Bianchini | Bianchini, Luca | 1764395 | 2000 | italiano | 1970 |  | M | M
Paolo Bianchi | Bianchi, Paolo | 3935995 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Sergio Bianchi | Bianchi, Sergio | 706185 | -1 | italiano | 1920 | 1978 | M | M
Luciano Bianciardi | Bianciardi, Luciano | 601087 | 1900 | italiano | 1922 | 1971 | M | M
Hector Bianciotti | Bianciotti, Hector | 2391409 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Carlo Bianco | Bianco, Carlo | 2463902 | 1900 | italiano | 1911 | 2010 | M | M
Giovanni Bianconi | Bianconi, Giovanni | 487163 | 1900 | italiano | 1960 |  | M | M
Ambrose Bierce | Bierce, Ambrose | 212496 | 1800 | statunitense | 1842 | -1 | M | M
Giacomo Biffi | Biffi, Giacomo | 90534 | 1900 | italiano | 1928 | 2015 | M | M
Francesco Bigazzi | Bigazzi, Francesco | 5973934 | 1900 | italiano | 1943 |  | M | M
Libero Bigiaretti | Bigiaretti, Libero | 640545 | 1900 | italiano | 1905 | 1993 | M | M
Daria Bignardi | Bignardi, Daria | 255496 | 1900 | italiana | 1961 |  | F | F
Athos Bigongiali | Bigongiali, Athos | 5252126 | 1900 | italiano | 1945 |  | M | M
romano Bilenchi | Bilenchi, romano | 674032 | 1900 | italiano | 1909 | 1989 | M | M
Mark Billingham | Billingham, Mark | 1269707 | 2000 | inglese | 1961 |  | M | M
Maeve Binchy | Binchy, Maeve | 4140684 | -1 | irlandese | 1940 | 2012 | F | F
Bruno Bini | Bini, Bruno | 4468144 | -1 | francese | 1954 |  | M | M
Carlo Bini | Bini, Carlo | 2971704 | 1800 | italiano | 1806 | 1842 | M | M
Gianni Biondillo | Biondillo, Gianni | 163558 | 1900 | italiano | 1966 |  | M | M
Mario Biondi | Biondi, Mario | 732952 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Trudi Birger | Birger, Trudi | 2162965 | 1900 | tedesca | 1927 | 2002 | F | F
Mikkel Birkegaard | Birkegaard, Mikkel | 2485012 | 1900 | danese | 1968 |  | M | M
John Birmingham | Birmingham, John | 2807911 | -1 | australiano | 1964 |  | M | M
Michael Bishop | Bishop, Michael | 1269560 | -1 | statunitense | 1945 |  | M | M
Luigi Bisignani | Bisignani, Luigi | 3535371 | 1900 | italiano | 1953 |  | M | M
Patrizia Bisi | Bisi, Patrizia | 6440364 | 1900 | italiana |  |  | F | F
Massimo Bisotti | Bisotti, Massimo | 5959112 | 2000 | italiano | -1 | -1 | M | M
Georges Bizet | Bizet, Georges | 206290 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giulio Bizzozero | Bizzozero, Giulio | 552276 | -1 | italiano | 1846 | 1901 | M | M
Holly Black | Black, Holly | 1940950 | 2000 | statunitense | 1971 |  | F | F
algernon Blackwood | Blackwood, algernon | 508634 | 1800 | britannico | 1869 | 1951 | M | M
Blackwood | Blackwood | 2597305 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Tony Blair | Blair, Tony | 93762 | 1900 | britannico | 1953 |  | M | M
jennifer Blake | Blake, jennifer | 3065173 | -1 | canadese | 1983 |  | F | F
Michael Blake | Blake, Michael | 4902956 | 1900 | statunitense | 1945 | 2015 | M | M
William Blake | Blake, William | 2685598 | 1700 | inglese | 1757 | 1827 | M | M
Dominique Blanc | Blanc, Dominique | 1951576 | 1900 | francese | 1956 |  | F | F
Maurice Blanchot | Blanchot, Maurice | 1581120 | 1900 | francese | 1907 | 2003 | M | M
Tony Blankley | Blankley, Tony | 6796236 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Peter Blauner | Blauner, Peter | 2782120 | 1900 | statunitense | 1959 |  | M | M
Diana Blayne | Blayne, Diana | 3814277 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
James Blish | Blish, James | 550381 | 1900 | statunitense | 1921 | 1975 | M | M
Luther Blissett | Blissett, Luther | 1614286 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Karen Blixen | Blixen, Karen | 15100 | 1900 | danese | 1885 | 1962 | F | F
Arthur Bloch | Bloch, Arthur | 204933 | 1900 | statunitense | 1948 |  | M | M
Ernst Bloch | Bloch, Ernst | 126965 | 1900 | tedesco | 1885 | 1977 | M | M
Marc Bloch | Bloch, Marc | 196431 | 1900 | francese | 1886 | 1944 | M | M
Robert Bloch | Bloch, Robert | 426892 | 1900 | statunitense | 1917 | 1994 | M | M
Lawrence Block | Block, Lawrence | 2305438 | 1900 | statunitense | 1938 |  | M | M
Aleksandr Blok | Blok, Aleksandr | 1376605 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Robert Bly | Bly, Robert | 3817323 | -1 | statunitense | 1926 |  | M | M
Giorgio Boatti | Boatti, Giorgio | 1093870 | 1900 | italiano | 1948 |  | M | M
Luigi Bobba | Bobba, Luigi | 1201925 | 2000 | italiano | 1955 |  | M | M
Norberto Bobbio | Bobbio, Norberto | 1384261 | 1900 | italiano | 1909 | 2004 | M | M
Marilyn Bobes | Bobes, Marilyn | 6187357 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giovanni Boccaccio | Boccaccio, Giovanni | 2952346 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giorgio Bocca | Bocca, Giorgio | 697298 | 1900 | italiano | 1920 | 2011 | M | M
Gerolamo Boccardo | Boccardo, Gerolamo | 1702048 | 1800 | italiano | 1829 | 1904 | M | M
Cino Boccazzi | Boccazzi, Cino | 2630743 | 1900 | italiano | 1916 | 2009 | M | M
umberto Boccioni | Boccioni, umberto | 101124 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Andrea Bocelli | Bocelli, Andrea | 2219897 | -1 | italiano | 1958 |  | M | M
Gisela Bock | Bock, Gisela | 3872269 | 1900 | tedesca | 1942 |  | F | F
Remo Bodei | Bodei, Remo | 318121 | 1900 | italiano | 1938 |  | M | M
Anders Bodelsen | Bodelsen, Anders | 5452905 | -1 | danese | 1937 |  | M | M
Tito Boeri | Boeri, Tito | 887259 | -1 | italiano | 1958 |  | M | M
Leonardo Boff | Boff, Leonardo | 116334 | 1900 | brasiliano | 1938 |  | M | M
Niels Bohr | Bohr, Niels | 3043 | 1900 | danese | 1885 | 1962 | M | M
Matteo Boiardo | Boiardo, Matteo | 436420 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Boileau-Narcejac | Boileau-Narcejac | 5119547 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giovanni Boine | Boine, Giovanni | 48732 | 1900 | italiano | 1887 | 1917 | M | M
Arrigo Boito | Boito, Arrigo | 2064556 | 1800 | italiano | 1842 | 1918 | M | M
camillo Boito | Boito, camillo | 200278 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Roberto Bolano | Bolano, Roberto | 1671884 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Luciano Bolis | Bolis, Luciano | 3028839 | 1900 | italiano | 1918 | 1993 | M | M
Stefano Bollani | Bollani, Stefano | 2473170 | 1900 | italiano | 1972 |  | M | M
Giulio Bollati | Bollati, Giulio | 2084183 | 1900 | italiano | 1924 | 1996 | M | M
Heinrich Boll | Boll, Heinrich | 407910 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Paolo Bolognesi | Bolognesi, Paolo | 1898222 | 1900 | italiano | 1944 |  | M | M
Adriano Bolzoni | Bolzoni, Adriano | 1571034 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Attilio Bolzoni | Bolzoni, Attilio | 2683559 | 1900 | italiano | 1955 |  | M | M
Erma Bombeck | Bombeck, Erma | 5134238 | 1900 | statunitense | 1927 | 1996 | F | F
franco Bomprezzi | Bomprezzi, franco | 2748214 | 1900 | italiano | 1952 | 2014 | M | M
Angelo Bona | Bona, Angelo | 2254174 | 1900 | italiano | 1955 |  | M | M
Gianni Bonadonna | Bonadonna, Gianni | 5584759 | -1 | italiano | 1934 | 2015 | M | M
Francesco Bonami | Bonami, Francesco | 1526561 | -1 | italiano | 1955 |  | M | M
Marie Bonaparte | Bonaparte, Marie | 2097851 | 1900 | francese | 1882 | 1962 | F | F
Guidubaldo Bonarelli | Bonarelli, Guidubaldo | 1949209 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Walter Bonatti | Bonatti, Walter | 48774 | XX | italiano | 1930 | 2011 | M | M
giuseppe Bonaviri | Bonaviri, giuseppe | 110315 | 1900 | italiano | 1924 | 2009 | M | M
Edoardo Boncinelli | Boncinelli, Edoardo | 698748 | 1900 | italiano | 1941 |  | M | M
Nelson Bond | Bond, Nelson | 3543681 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Egon Bondy | Bondy, Egon | 2090184 | -1 | ceco | 1930 | 2007 | M | M
marta Boneschi | Boneschi, marta | 1648921 | 1900 | italiana | 1946 |  | F | F
Marta Boneschi | Boneschi, Marta | 1648921 | 1900 | italiana | 1946 |  | F | F
Mario Bonfantini | Bonfantini, Mario | 4224290 | 1900 | italiano | 1904 | 1978 | M | M
francesco Bon | Bon, francesco | 1897186 | 1300 | italiano | [[1310]] circa | ? | M | M
Ruggero Bonghi | Bonghi, Ruggero | 2492242 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Mike Bongiorno | Bongiorno, Mike | 2074894 | 1900 | statunitense | 1924 | 2009 | M | M
bruno Bongiovanni | Bongiovanni, bruno | 4972793 | 1900 | italiano | 1947 |  | M | M
Dietrich Bonhoeffer | Bonhoeffer, Dietrich | 298989 | 1900 | tedesco | 1906 | 1945 | M | M
ada Boni | Boni, ada | 2222813 | 1900 | italiana | 1891 | 1973 | F | F
Carlo Bonini | Bonini, Carlo | 1176454 | 1900 | italiano | 1967 |  | M | M
Giampiero Boniperti | Boniperti, Giampiero | 247897 | 1900 | italiano | 1928 |  | M | M
Jacques Bonnet | Bonnet, Jacques | 1084810 | 2000 | francese |  |  | M | M
Xavier-Marie Bonnot | Bonnot, Xavier-Marie | 4630520 | 1900 | francese | 1962 |  | M | M
Nella Bonora | Bonora, Nella | 3461999 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Alessandro Bonsanti | Bonsanti, Alessandro | 1099416 | 1900 | italiano | 1904 | 1984 | M | M
Massimo Bontempelli | Bontempelli, Massimo | 140861 | XX | italiano | 1878 | 1960 | M | M
Giuseppe Bonura | Bonura, Giuseppe | 1870783 | 1900 | italiano | 1933 | 2008 | M | M
Caterina Bonvicini | Bonvicini, Caterina | 1890586 | 2000 | italiana | 1974 |  | F | F
Sandro Bonvissuto | Bonvissuto, Sandro | 5700957 | 2000 | italiano | 1970 |  | M | M
Murray Bookchin | Bookchin, Murray | 566953 | 1900 | statunitense | 1921 | 2006 | M | M
antonella Boralevi | Boralevi, antonella | 2794187 | 1900 | italiana | 1953 |  | F | F
